film_id,genre_id,director_gender
35185,2,male
39948,2,male
8219,2,male
16407,2,male
52083,2,male
11949,2,male
32692,2,male
14645,2,male
49409,2,female
9919,2,male
3426,2,male
2984,2,male
42035,2,male
23834,2,male
455,2,female
4762,2,male
12157,2,male
10293,2,male
9557,2,male
10180,2,male
26866,2,male
10743,2,male
22958,2,male
10989,2,male
10720,2,male
5146,2,male
12544,2,male
47423,2,male
59950,2,male
50285,2,male
43361,2,male
147729,2,male
47715,2,male
18300,2,female
18722,2,male
20645,2,male
34840,2,male
25921,2,male
12649,2,male
9104,2,male
47232,2,male
21449,2,male
9499,2,male
11770,2,male
41944,2,male
11898,2,male
4593,2,male
41806,2,male
333,2,female
22200,2,male
1415,2,male
29507,2,female
2687,2,male
10739,2,male
7288,2,male
321,2,male
2200,2,male
776,2,male
11832,2,male
51300,2,male
8446,2,male
4543,2,male
41780,2,male
1584,2,male
20312,2,male
10719,2,male
508,2,male
10715,2,male
11042,2,male
36068,2,male
13581,2,male
2297,2,male
9261,2,male
11634,2,male
8222,2,male
3681,2,male
19120,2,male
7857,2,male
33302,2,male
42238,2,male
17685,2,male
8696,2,male
47952,2,male
14844,2,male
42599,2,male
27465,2,male
24782,2,male
6277,2,male
427,2,male
778,2,male
11708,2,male
13505,2,male
16784,2,male
11083,2,male
11132,2,female
30735,2,male
338,2,male
156,2,female
47168,2,male
16941,2,male
14442,2,male
10338,2,male
86182,2,male
11141,2,male
30125,2,male
4339,2,male
44864,2,male
34328,2,male
25355,2,male
24012,2,male
18209,2,male
44807,2,male
5248,2,male
8075,2,male
94771,2,female
2817,2,male
36741,2,male
8468,2,male
1059,2,male
11700,2,male
10690,2,male
4291,2,male
20718,2,male
105130,2,male
316,2,male
439,2,male
38291,2,male
2546,2,male
56167,2,male
11796,2,male
4507,2,male
41779,2,female
25495,2,male
46976,2,male
47819,2,male
10484,2,male
31146,2,male
10204,2,male
8991,2,male
44494,2,male
29264,2,male
23522,2,male
62395,2,male
1783,2,male
31522,2,male
42801,2,male
38505,2,male
41940,2,male
14652,2,male
69526,2,male
14623,2,male
45522,2,male
52936,2,male
14389,2,male
40087,2,male
42164,2,male
12548,2,male
49069,2,male
31117,2,male
11823,2,male
747,2,male
1599,2,male
11045,2,male
26108,2,male
3989,2,male
16358,2,male
3053,2,male
18499,2,male
8849,2,male
5729,2,male
48365,2,male
24381,2,male
45213,2,male
44134,2,male
43101,2,male
750,2,male
52705,2,male
751,2,male
789,2,male
10227,2,male
5767,2,male
20873,2,male
48831,2,male
105627,2,male
11378,2,male
760,2,male
28498,2,male
62761,2,male
5558,2,male
29859,2,male
38438,2,male
64353,2,male
32689,2,male
11609,2,male
30278,2,male
19596,2,male
108241,2,male
8221,2,male
54407,2,male
42021,2,male
21733,2,male
4043,2,male
18917,2,male
4271,2,male
26936,2,male
11131,2,male
59058,2,male
6444,2,male
31923,2,male
12776,2,male
11198,2,male
41678,2,male
45145,2,male
11621,2,male
38143,2,male
83599,2,male
20339,2,male
271304,2,male
10486,2,male
54804,2,male
57221,2,female
18665,2,male
41343,2,male
48709,2,male
12254,2,male
8697,2,male
13428,2,male
84002,2,male
9943,2,male
33491,2,female
3716,2,male
31161,2,male
110147,2,male
33253,2,male
16171,2,male
36246,2,male
16435,2,male
10757,2,male
18088,2,male
81540,2,female
40096,2,male
13437,2,male
211,2,male
6382,2,male
9298,2,male
10981,2,male
10918,2,male
30839,2,male
53244,2,female
97754,2,female
31076,2,male
38970,2,male
15271,2,male
4972,2,male
22618,2,male
24092,2,male
12608,2,male
13373,2,male
37209,2,male
40823,2,male
45693,2,male
15177,2,male
19423,2,male
4896,2,male
986,2,male
56616,2,male
46761,2,male
118,2,male
39472,2,male
25350,2,male
7229,2,male
10609,2,male
35031,2,male
6439,2,male
26488,2,male
16410,2,male
342,2,male
135473,2,male
10951,2,male
57825,2,female
9470,2,male
36867,2,male
37527,2,male
5204,2,male
10012,2,male
65967,2,male
10022,2,male
34196,2,male
15443,2,male
25283,2,male
11196,2,male
42837,2,male
1589,2,male
48598,2,female
158,2,male
21131,2,male
47237,2,male
11399,2,female
7364,2,male
11431,2,male
51945,2,male
2029,2,male
49225,2,male
37512,2,male
19673,2,male
4595,2,male
36971,2,male
45267,2,male
36843,2,male
6183,2,male
8220,2,male
43379,2,male
67445,2,male
11799,2,male
15318,2,male
44658,2,male
48130,2,male
27233,2,male
63066,2,male
11628,2,male
10913,2,male
19413,2,male
4379,2,male
42268,2,male
16932,2,male
12109,2,male
43354,2,male
44524,2,male
25248,2,male
2994,2,male
14653,2,male
276,2,male
2151,2,male
18503,2,male
14646,2,male
9775,2,male
42719,2,male
37632,2,male
25074,2,male
11848,2,male
4442,2,male
61675,2,male
14759,2,male
11627,2,male
10475,2,male
1559,2,male
15276,2,male
6963,2,male
45967,2,male
36102,2,male
34207,2,male
32117,2,male
105299,2,male
60409,2,male
10033,2,male
20347,2,male
15184,2,male
22908,2,male
42234,2,male
9515,2,male
8290,2,male
10597,2,male
9687,2,male
30095,2,male
16665,2,male
63395,2,male
36380,2,male
4772,2,male
8435,2,male
38349,2,male
30712,2,male
33095,2,male
61559,2,female
10073,2,male
14086,2,male
9968,2,male
14191,2,female
9648,2,male
31289,2,male
219,2,male
52345,2,male
10177,2,male
12591,2,male
9035,2,male
460,2,male
20521,2,male
1629,2,male
16367,2,male
36253,2,male
9530,2,male
10115,2,female
59892,2,male
122271,2,male
4962,2,male
22747,2,male
41796,2,male
410,2,male
5070,2,male
13802,2,male
512,2,male
9293,2,female
47880,2,male
9907,2,male
42501,2,male
15696,2,male
39776,2,male
1023,2,male
39749,2,male
14893,2,female
19072,2,male
11227,2,male
41937,2,male
49940,2,male
22471,2,male
37628,2,male
5072,2,male
32687,2,male
24916,2,male
10846,2,male
15097,2,male
300,2,male
15213,2,male
12249,2,male
15742,2,male
43122,2,male
111642,2,male
13209,2,male
4285,2,male
36922,2,male
21156,2,male
11619,2,male
1581,2,female
8324,2,male
36265,2,male
9986,2,male
11653,2,male
8618,2,male
79767,2,male
13771,2,male
6166,2,male
12183,2,male
46919,2,female
12547,2,male
25623,2,male
13140,2,male
5206,2,male
34866,2,male
37725,2,male
13517,2,male
42721,2,male
4638,2,male
14055,2,male
6691,2,male
14434,2,male
10051,2,female
5177,2,male
22311,2,male
32390,2,female
9843,2,male
10111,2,female
21810,2,male
38907,2,male
2976,2,male
41380,2,male
11205,2,male
5488,2,male
8748,2,male
10063,2,male
12225,2,male
10288,2,male
74055,2,male
21427,2,male
41930,2,male
75350,2,male
42464,2,male
2196,2,male
18763,2,male
11404,2,male
18632,2,male
757,2,male
3638,2,male
4516,2,male
24159,2,male
1721,2,male
22085,2,male
13501,2,male
13241,2,male
6641,2,male
10030,2,male
2728,2,male
14251,2,male
14930,2,male
3603,2,male
20607,2,male
18731,2,male
4953,2,male
2284,2,male
4723,2,male
12555,2,male
13168,2,male
8079,2,female
13198,2,male
42529,2,male
19103,2,male
40860,2,male
111854,2,female
110909,2,female
5259,2,male
81522,2,male
27357,2,male
58470,2,male
8321,2,male
4034,2,male
7973,2,female
12855,2,male
8390,2,male
7942,2,male
12177,2,male
2239,2,male
7985,2,male
12178,2,male
29369,2,male
13688,2,male
4942,2,male
11483,2,male
46982,2,male
8281,2,male
8267,2,male
8827,2,male
14324,2,male
10503,2,male
38163,2,male
13258,2,male
10761,2,male
13191,2,male
50700,2,female
10120,2,male
9789,2,male
45408,2,male
11665,2,male
85559,2,male
8265,2,male
13964,2,male
12416,2,male
70846,2,male
31082,2,male
14654,2,male
7446,2,male
14298,2,male
21335,2,male
37050,2,male
25126,2,male
10078,2,male
12689,2,female
15935,2,male
18548,2,female
2588,2,male
13672,2,male
13905,2,male
8892,2,male
43985,2,male
5816,2,male
194113,2,male
13971,2,male
8049,2,male
8927,2,male
51808,2,male
16409,2,male
54406,2,male
8280,2,male
6733,2,male
16137,2,male
50318,2,male
15003,2,male
1560,2,male
98193,2,male
30508,2,male
16177,2,male
67384,2,female
20421,2,male
13849,2,male
16558,2,male
22705,2,male
19833,2,male
18947,2,male
10000,2,male
30843,2,male
36175,2,male
15342,2,female
64115,2,male
18238,2,male
16899,2,male
8282,2,male
16345,2,male
761,2,male
13710,2,female
15084,2,male
16324,2,male
27799,2,male
29314,2,male
8933,2,male
4498,2,male
24772,2,male
4250,2,male
19265,2,male
49691,2,male
47870,2,male
62547,2,male
20856,2,male
20071,2,male
17199,2,male
18908,2,female
18585,2,male
16634,2,male
19840,2,male
18820,2,male
12839,2,male
17153,2,male
23049,2,male
758,2,male
64544,2,male
2861,2,male
22494,2,male
21700,2,male
10313,2,male
20715,2,male
31936,2,male
32317,2,male
22326,2,male
40225,2,male
18974,2,male
22717,2,male
4786,2,male
63978,2,male
11807,2,male
48214,2,male
43850,2,male
25132,2,male
33806,2,male
24238,2,male
32928,2,male
19035,2,male
56619,2,male
