film_id,popularity,rating_id
8074,7.273791,220
41326,0.075885,221
10608,3.041772,222
7452,5.970136,223
892,12.565447,224
1600,9.661817,225
26561,2.400185,226
409,15.564161,227
10161,5.841931,228
10409,3.233531,229
2469,10.788319,230
68,9.837287,231
947,10.893332,232
185,17.112594,233
335,15.589351,234
144,6.357321,235
1092,8.513889,236
175,13.503815,237
11645,12.250232,238
10835,8.019837,239
600,13.94148,240
10705,7.307967,241
311,32.182851,242
1398,7.787515,243
387,8.80338,244
37291,4.085688,245
490,6.47828,246
11235,10.636074,247
763,13.645568,248
18971,5.088457,249
9322,6.586401,250
826,8.851646,251
422,6.747516,252
9964,7.409599,253
694,19.611589,254
832,12.752421,255
11778,7.729445,256
4485,2.211854,257
8428,4.289341,258
149,10.888917,259
11673,5.0399,260
10404,7.948888,261
783,12.383755,262
11257,6.175166,263
12104,6.773407,264
8816,4.195896,265
983,6.189816,266
655,11.635837,267
10341,2.14652,268
41801,2.273475,269
814,13.390802,270
24913,10.301342,271
13549,2.877095,272
653,7.435873,273
31640,8.409956,274
7863,11.664053,275
12709,10.879283,276
64900,0.318366,277
10549,9.994088,278
58102,0.332582,279
49935,0.365078,280
8818,6.709803,281
36758,4.13905,282
36040,10.177086,283
12145,11.036729,284
2892,0.775616,285
14832,15.975485,286
55936,1.015881,287
58911,0.228157,288
28005,7.124652,289
9311,3.132331,290
884,7.540612,291
49806,9.664735,292
13982,5.666701,293
77223,1.462139,294
47694,1.136222,295
9977,1.129648,296
18,24.30526,297
53023,0.792486,298
15321,1.651546,299
38523,0.409967,300
45671,0.476919,301
26422,2.690319,302
65889,1.081043,303
11956,0.834917,304
266,7.543337,305
124834,0.311968,306
111367,0.413422,307
8413,11.335072,308
14585,3.323672,309
49462,3.459251,310
38295,2.314911,311
9772,12.173291,312
10155,7.923639,313
20457,3.742915,314
18355,4.233187,315
68924,7.146352,316
9427,8.333322,317
29911,3.553746,318
1959,9.688237,319
8067,15.996171,320
99002,0.551124,321
34838,0.192391,322
14905,7.999793,323
61337,2.287762,324
10215,9.7866,325
45609,3.377578,326
489,15.064833,327
10217,6.002992,328
12799,0.384033,329
25994,0.923637,330
27103,3.237812,331
2666,12.851984,332
11258,6.363405,333
25719,1.631288,334
11220,5.470351,335
21253,1.791965,336
6116,4.257516,337
9457,6.922458,338
2923,2.399824,339
41577,1.673946,340
30949,4.475177,341
9558,11.230031,342
6970,0.569827,343
47452,0.785094,344
9313,7.960605,345
5910,5.044722,346
9440,8.455425,347
53092,0.782772,348
44308,2.783205,349
1774,2.238505,350
70581,0.467352,351
267,6.715019,352
21252,3.035339,353
9449,14.924667,354
6264,1.74053,355
10622,6.183021,356
38618,0.740462,357
18316,4.4467,358
35796,4.255263,359
26610,3.722295,360
40961,0.774609,361
312,1.923957,362
17044,1.514441,363
