film_id,country_id,director_gender
38911,72,male
85129,72,female
50106,72,male
77352,72,male
147287,72,male
127142,72,male
34449,72,male
245906,72,male
304640,72,male
108535,72,male
42293,72,female
55229,72,male
20310,72,female
282502,72,male
293238,72,male
53774,72,male
27637,72,male
74080,72,male
4695,72,male
8557,72,male
253161,72,female
79838,72,male
16261,72,male
4645,72,male
42140,72,male
6962,72,male
248934,72,male
81787,72,male
53914,72,male
98349,72,male
134018,72,male
191820,72,male
62029,72,male
61638,72,male
4398,72,male
326215,72,male
114189,72,female
283701,72,male
296313,72,male
49928,72,male
243233,72,male
319337,72,male
75713,72,male
202839,72,male
130624,72,male
179553,72,male
11204,72,male
306819,72,male
126415,72,male
218974,72,male
154582,72,male
89625,72,male
17938,72,male
2004,72,male
2333,72,male
1539,72,male
11440,72,male
15640,72,male
11142,72,male
42032,72,female
285181,72,male
298721,72,male
6318,72,male
96717,72,male
200325,72,female
117493,72,male
42093,72,male
192236,72,male
250230,72,male
340488,72,male
46636,72,male
296098,72,male
4196,72,male
9643,72,male
4955,72,male
2969,72,male
14847,72,male
122787,72,male
206,72,male
329829,72,male
45555,72,male
364781,72,female
291343,72,male
5484,72,male
262871,72,male
133941,72,male
113255,72,male
36880,72,male
139945,72,male
8556,72,female
62871,72,male
157827,72,male
73132,72,male
198511,72,male
4228,72,male
48333,72,male
227262,72,male
257088,72,male
78401,72,female
333696,72,male
215740,72,male
4540,72,male
129455,72,male
52116,72,male
55534,72,male
9375,72,male
141145,72,female
277968,72,male
197053,72,male
16912,72,male
74884,72,male
140229,72,male
245697,72,male
27069,72,male
319888,72,male
337029,72,male
139777,72,male
93521,72,male
11089,72,male
10626,72,male
18230,72,male
323677,72,male
46258,72,male
9321,72,male
111988,72,male
249347,72,male
47239,72,male
129933,72,female
126610,72,male
10749,72,male
10500,72,male
11869,72,male
123406,72,male
47723,72,male
97707,72,male
250919,72,male
799,72,female
50179,72,male
5256,72,male
278262,72,male
209266,72,female
12781,72,male
226693,72,male
47845,72,male
58559,72,female
239103,72,male
48613,72,male
114242,72,male
373349,72,male
75733,72,male
144651,72,male
197175,72,male
1659,72,male
1655,72,male
36137,72,male
60809,72,male
7456,72,male
302401,72,male
394661,72,male
9547,72,male
94658,72,male
270010,72,male
15068,72,male
371464,72,female
374475,72,female
5654,72,male
353866,72,male
381277,72,male
300210,72,male
346641,72,male
371865,72,male
103396,72,male
42591,72,male
12602,72,male
29924,72,male
337674,72,male
368031,72,male
333367,72,female
377852,72,female
254323,72,male
57924,72,male
72309,72,male
384664,72,male
86822,72,male
43776,72,male
394822,72,male
339894,72,male
13626,72,male
360029,72,male
55739,72,male
41725,72,male
355065,72,male
393561,72,female
932,72,male
8209,72,male
340837,72,male
377263,72,male
208436,72,male
280723,72,female
380623,72,male
81556,72,male
17008,72,male
85699,72,male
186532,72,male
70807,72,male
346239,72,male
382883,72,male
379019,72,male
432799,72,female
429732,72,male
76097,72,male
9551,72,male
405204,72,male
340676,72,male
173631,72,male
154718,72,male
7290,72,male
356200,72,male
380075,72,male
185476,72,male
54548,72,male
104376,72,male
63077,72,male
157641,72,male
11181,72,male
410212,72,male
42862,72,male
411024,72,female
122487,72,male
11070,72,male
391663,72,female
3003,72,male
198646,72,male
201429,72,male
8128,72,male
302150,72,male
23764,72,male
53945,72,male
368342,72,male
391709,72,male
11930,72,male
49168,72,male
81509,72,male
74949,72,male
8366,72,male
28279,72,male
176167,72,male
4049,72,male
378111,72,male
360737,72,male
341013,72,male
27221,72,male
45763,72,male
172011,72,male
146473,72,male
45764,72,male
128410,72,male
9627,72,male
2286,72,male
436352,72,male
412204,72,female
428501,72,male
32593,72,female
11193,72,male
296779,72,male
428495,72,male
366505,72,female
434166,72,male
175457,72,male
184402,72,male
45527,72,male
30840,72,male
11860,38,male
12110,38,male
1408,38,male
524,38,male
4584,38,male
9691,38,male
687,38,male
31174,38,male
97406,38,male
63076,38,male
73067,38,male
30157,38,male
11780,38,male
1775,38,male
9886,38,male
68274,38,male
48787,38,male
32646,38,male
10531,38,male
10451,38,male
397,38,male
72031,38,male
3036,38,male
8438,38,male
101,38,male
41478,38,male
12106,38,male
28033,38,male
14334,38,male
2636,38,male
2164,38,male
27993,38,male
46797,38,male
10497,38,male
14522,38,female
9350,38,male
20239,38,male
13815,38,male
2087,38,male
41006,38,male
31642,38,male
2259,38,male
6,38,male
507,38,male
12121,38,male
