,genres,ID,title,vote_average,vote_count,releasedate,director_gender,prod_countries
164,"Action, Drama, Thriller, Mystery",9268,Eraser,5.6,553.0,1996,male,Canada
165,"Drama, Foreign",123763,"I, the Worst of All",6.8,3.0,1990,female,Argentina
166,"Drama, Romance, War",81949,An Unforgettable Summer,7.2,6.0,1994,male,France
167,"Comedy, Horror",10779,The Frighteners,6.7,413.0,1996,male,New Zealand
168,"Comedy, Drama, Romance",49963,Walking and Talking,6.6,8.0,1996,female,Germany
169,Drama,31546,American Buffalo,6.2,9.0,1996,male,United Kingdom
170,"Comedy, Romance",77056,Rendezvous in Paris,6.5,4.0,1995,male,France
171,Unknown,172198,Magic Hunter,6.0,1.0,1994,female,Hungary
172,"Drama, War",124645,Two Deaths,7.0,2.0,1995,male,United Kingdom
173,"Drama, Adventure",35206,Death in the Garden,7.4,8.0,1956,male,Mexico
174,"Comedy, Drama, Romance",4837,La Collectionneuse,6.5,25.0,1967,male,France
175,"Drama, Foreign",12632,Kaspar Hauser,6.3,4.0,1993,male,Austria
176,"Comedy, Foreign",9098,Regular Guys,5.2,9.0,1996,male,Germany
177,"Fantasy, Family, Animation",18975,The Adventures of Pinocchio,5.0,55.0,1996,male,Czech Republic
178,"Drama, Thriller, Horror",31417,Eyes Without a Face,7.5,130.0,1960,male,France
179,"Drama, Romance",46986,Flirt,7.5,4.0,1995,male,Germany
180,"Drama, Crime",36266,Cyclo,6.8,23.0,1995,male,Vietnam
181,Drama,213917,Every Other Weekend,6.0,2.0,1990,female,France
182,Unknown,42758,Small Faces,6.4,10.0,1996,male,United Kingdom
183,Drama,11985,Vive L'Amour,7.3,16.0,1994,male,Taiwan
184,Drama,10232,Shadow of Angels,4.0,2.0,1976,male,Switzerland
185,"Thriller, Mystery, Horror",11015,The Relic,5.8,130.0,1997,male,Germany
186,"Comedy, Drama, Romance",44705,Twelfth Night,7.0,22.0,1996,male,United Kingdom
187,"Drama, Romance",26933,Wild Reeds,7.4,18.0,1994,male,France
188,"Action, Thriller, Mystery",260,The 39 Steps,7.4,217.0,1935,male,United Kingdom
