genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
"Family, Animation",45772,English,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",9.244469,"United Kingdom, United States of America",Gnomeo & Juliet,5.8,547.0,2011,Kelly Asbury
"Drama, History",11788,English,HBO miniseries about the the public and private lives of the later years of Queen Elizabeth I.,2.179351,United Kingdom,Elizabeth I,7.1,26.0,2005,Tom Hooper
Comedy,82792,English,"Mario ""Cantinflas"" Moreno is a hired hand, Pepe, employed on a ranch. A boozing Hollywood director buys a white stallion that belongs to Pepe's boss. Pepe, determined to get the horse back (as he considers it his family), decides to take off to Hollywood. There he meets film stars including Jimmy Durante, Frank Sinatra, Zsa Zsa Gabór, Bing Crosby, Maurice Chevalier and Jack Lemmon in drag as Daphne from Some Like It Hot. He is also surprised by things that were new in America at the time, such as automatic swinging doors. When he finally reaches the man who bought the horse, he is led to believe there is no hope of getting it back. However, the last scene shows both him and the stallion back at the ranch with several foals.",0.300826,"United States of America, Mexico",Pepe,3.5,2.0,1960,George Sidney
Drama,79180,English,"A California commercial pilot sees a telecast in London of an interviews with Sir Mark Lodden at his home. The Canadian is convinced that the baronet is a fraud, that he is actually a look-alike actor named Frank Welney",0.153857,United Kingdom,Libel,7.3,4.0,1959,Anthony Asquith
"Comedy, Thriller",50204,English,"Two 19th-century opportunists (Simon Pegg, Andy Serkis) become serial killers so that they can maintain their profitable business supplying cadavers to an anatomist (Tom Wilkinson).",7.787593,United Kingdom,Burke & Hare,6.1,151.0,2010,John Landis
"Thriller, Horror",53045,English,"A series of murders occur that mirror those committed by the Whitechapel Ripper. Through his experiments with psychoanalysis Dr Pritchard discovers a deadly violence in one of his young female patients. As he delves into the recesses of her mind he uncovers that Anna is possessed by her dead father's spirit, willing her to commit acts of gruesome savagery over which she has no control. But the most chilling revelation of all is the identity of her father: Jack the Ripper himself.",0.649984,United Kingdom,Hands of the Ripper,5.8,18.0,1971,Peter Sasdy
"Drama, History, War",30432,French,"This gripping historical drama recounts the story of Armenian-born Missak Manouchian, a woodworker and political activist who led an immigrant laborer division of the Parisian Resistance on 30 operations against the Nazis in 1943. The Nazis branded the group an Army of Crime, an anti-immigrant propaganda stunt that backfired as the team's members became martyrs for the Resistance.",10.741315,France,Army of Crime,6.7,33.0,2009,Robert Guédiguian
Comedy,85886,Spanish,"A widow shepherd who lives at the Aragonese Pyrenees sees how his three young daughters, Cándida, Visi, and Nieves, go to Madrid to find a better life and leave him alone. There they all get married, have sons and forget their father. One day, Marcelino receives a letter from Cándida, who wants him to stay with her family for some time. What she really wants is some help from her father, as she's not able to take care of her ten daughters and her upcoming child. Marcelino goes to Madrid, but, once there, he only finds an unknown, frantic and hostile world, and also three unhappy daughters...",0.470673,Spain,Old Man Made in Spain,5.6,8.0,1969,Pedro Lazaga
"Comedy, Adventure, Science Fiction",39513,English,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",10.24382,"United Kingdom, United States of America",Paul,6.5,1825.0,2011,Greg Mottola
Drama,46789,Danish,"As children, Nick and his little brother take care of their baby brother while their mother drinks herself senseless. But the baby dies, and both brothers blame themselves. Many years later, Nick is out of prison after serving time for an assault. He drinks, lives in a shelter and tries to help an old friend. When their mother dies, Nick meets his brother at the funeral. The brother, who remains nameless, is a single father to a young boy, but also supports a drug habit that is spiraling out of control. When an opportunity presents itself, he becomes a drug dealer to secure his son's future. Eventually, the two brothers meet again.",2.898859,Denmark,Submarino,7.0,44.0,2010,Thomas Vinterberg
"Thriller, Horror",30901,Italian,"Jane lives in London with her boyfriend Richard. Her mother was murdered when she was young, she recently lost a baby in a car crash and she's plagued by nightmares of a knife-wielding man. Richard thinks that the cure is vitamins, while Jane's sister recommends psychiatric help. But a new neighbour promises that if she participates in a Black Mass, all her fears will disappear, instead it just seems to bring her nightmares to life.",1.562543,"Italy, Spain",All the Colors of the Dark,6.8,17.0,1972,Sergio Martino
"Drama, Mystery, Horror",81217,Polish,"The story of an anthropology professor Michal's who as the movie progresses develops two overwhelming obsessions. The first one is a mummified, 3,000 year-old, perfectly preserved body of a Shaman he and his colleagues have recently dragged out of a swamp, and the second – an enigmatic student he meets by chance at Krakow Railway Station.",1.213651,"France, Switzerland, Poland",Szamanka,6.5,15.0,1996,Andrzej Żuławski
"Action, Drama, Foreign",32520,Chinese,"The Yangs are betrayed by a government official conspiring with the Mongols. All of the Yang family males except the 4th, 5th, and 6th brothers are killed. Fu Sheng loses his mind after the death of his family, while the other brother, takes refuge in a temple. Liu's superb martial arts skill, impress the temple's senior monks. He learns that his sister has been captured by the conspirators.",2.6489,Hong Kong,Eight Diagram Pole Fighter,7.4,17.0,1984,Liu Chia-Liang
"Fantasy, Science Fiction, Foreign, Horror",37618,English,"Hugo is a brilliant turn-of-the-century scientist, loved and respected by his family and friends, admired by his colleagues. But he is a man quickly becoming obsessed with a curious and frightening question... what is the mysterious apparition found in the photographs of his dying subjects?",1.808388,United Kingdom,The Asphyx,5.7,13.0,1972,Peter Newbrook
Drama,51971,French,"Mousse and Louis are young, beautiful, rich and in love. But drugs have invaded their lives. One day, they overdose and Louis dies. Mousse survives, but soon learns she's pregnant. Feeling lost, Mousse runs away to a house far from Paris. Several months later, Louis' brother joins her in her refuge.",2.245929,France,Hideaway (Le refuge),6.2,20.0,2009,François Ozon
"Drama, Fantasy",64441,French,"In this classically surreal fantasy, a sailor, known for telling tales, sees a student killing his teacher and decides to spin a few yarns for him. He tells the boy of his many adventures in exotic South American ports where he visited opium dens and stayed in cathouses. In such dark, dreamlike places, the sailor meets many strange, mystical characters.",0.00022,France,Three Crowns of the Sailor,8.3,7.0,1983,Raúl Ruiz
Drama,31987,English,"After reading too many novels about knights and heroic stories, Don Quijote and his servant Sancho Panza decide to wander the roads of Spain to protect the weak and to accomplish good deeds. But the real world is not as magical and fairy as Don Quijote imagines it to be. Following the plot of Cervantes classical book, Don Quijote fights with windmills thinking they are giants but unluckily, he man",1.049371,"Italy, United States of America, Spain",Don Quixote,6.6,7.0,1992,Orson Welles
"Action, Drama, History",14538,English,"The aging Zhao embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time.",3.86486,"China, Hong Kong, South Korea",Three Kingdoms: Resurrection of the Dragon,6.5,36.0,2008,Daniel Lee
Drama,174958,English,"The Buddah priest wants the Daughter of the Daimyo to become a priest at the Forbidden Garden. The Daimyo thinks, if he was in Europe, that his daughter should decide on her own, but he is denuciated and has to comit harakiri. She meets Olaf, falls in love and marries him but after a few months he has to return to Europe. She gave birth to a child and is waiting for him, while he marries in Europe. When he comes back to Japan 4 years later, he is accompained by his European wife...",0.480186,Germany,Harakiri,6.5,4.0,1919,Fritz Lang
Comedy,14525,Japanese,"Leading a lazy life, Fumiya has been a university student for 8 years and owes money to loan sharks. One day, a man named Fukuhara comes to collect the loan, which Fumiya cannot pay. So Fukuhara makes a proposition: He will cancel the debt as long as Fumiya agrees to walk with him across Tokyo to the police station of Kasumigaseki, where he intends to turn himself in for a crime he deeply regrets. Not having much choice, Fumiya accepts the deal. Thus begins their journey which will lead them to various unusual encounters, most of all with themselves.",0.798005,Japan,Adrift in Tokyo,7.2,19.0,2007,Satoshi Miki
"Drama, Romance",43088,Chinese,"When Jade, a web-cam girl, visits Takeko's tattoo studio she becomes entranced with the image of the spider lily and with Takeko as well. In order to get closer to the object of her desire, Jade asks Takeko to give her the same lily tattoo, challenging Takeko's monastic existence and opening up memories which threaten to tear the two women apart.",0.974875,Taiwan,Spider Lilies,6.4,10.0,2007,Zero Chou
Comedy,36505,Spanish,"Matacanes dies and goes to heaven just to discover that it was not as he expected, and everyone there is revolutionized lately. Peter explains that God was concerned about the progress of the world, and decided to send a second son to Earth. However, Jesus hears and does not agree, as they would have to rewrite history.",0.70595,Spain,On Earth as It Is in Heaven,4.6,4.0,1995,José Luis Cuerda
"Drama, Romance",83013,Korean,"Two soulmates find eachother only to be torn apart by tragedy. However, not even death can keep them apart...but can destiny?",0.208569,South Korea,Bungee Jumping of Their Own,6.6,5.0,2001,Kim Dae-seung
"Comedy, Drama",42171,English,"Based in a London suburb Mahmud Nasir lives with his wife, Saamiya, and two children, Rashid and Nabi. His son plans to marry Uzma, the step-daughter of Egyptian-born Arshad Al-Masri, a so-called 'Hate Cleric' from Waziristan, Pakistan. Mahmud, who is not exactly a devout Muslim, he drinks alcohol, and does not pray five times, but does agree that he will appease Arshad, without whose approval the marriage cannot take place. Shortly thereafter Mahmud, while going over his recently deceased mother's documents, will find out that he was adopted, his birth parents were Jewish, and his name is actually Solly Shimshillewitz.",3.574031,United Kingdom,The Infidel,6.0,45.0,2009,Josh Appignanesi
"Comedy, Drama, Romance",50725,English,"Recent MIT grad Matt Franklin (Topher Grace) should be well on his way to a successful career at a Fortune 500 company, but instead, he rebels against maturity by taking a job at a video store. Matt rethinks his position when his unrequited high-school crush, Tori (Teresa Palmer), walks in and invites him to an end-of-summer party. With the help of his twin sister (Anna Faris) and his best friend (Dan Fogler), Matt hatches a plan to change the course of his life.",8.132811,"Germany, United States of America",Take Me Home Tonight,6.2,215.0,2011,Michael Dowse
"History, War",31890,English,"In the Jewish tradition of arguing with God, Jewish prisoners in Auschwitz decide to put God on Trial.",1.462217,United Kingdom,God on Trial,8.2,14.0,2008,Andy de Emmony
"Drama, Fantasy, Mystery",33228,English,A teacher on a Greek island becomes involved in bizarre mind-games with the island's magus (magician) and a beautiful young woman.,3.566565,United Kingdom,The Magus,6.6,6.0,1968,Guy Green
"Action, Drama, Thriller",37714,Russian,"In an old apartment building on the wrong side of the tracks, two women, unknown to each other, live across the hall on the second floor. Galia is an assassin involved against her will with the local sex-traffic mafia. All she wants is to reunite with her little daughter that she left back home in Russia. Eleanor is a grocery store cashier and a battered wife. She dreams of winning the lottery and running away from her abusive husband. Galia and Eleanor don't know each other, but as neighbors they share two things: an adjoining wall and a strong need to plan their escape. As Galia disobeys her latest contract, a woman target, and Eleanor discovers that she's pregnant, the two women decide to take action against their oppressors in a fight for survival and freedom.",1.782869,"France, United States of America, Israel",The Assassin Next Door,5.4,19.0,2009,Danny Lerner
War,51200,English,"A civil war broke out in the 1950s between North and South Korea which changed the country forever. 71: Into the Fire centers on the struggles of 71 student soldiers who fought through the Korean War. Using real people and events based on the opening moves of the Battle of P'ohang-dong, the film exposes the personal and physical conflicts that these students faced when finding themselves on the last line of defense at P'ohang-dong Girl's Middle School against the NKPA's advancement, needing to hold out until back up from other Korean troops and the Allies arrived.",3.106814,South Korea,71: Into the Fire,7.0,38.0,2010,John H. Lee
"Drama, Horror",45714,English,"A skeptical college professor discovers that his wife has been practicing magic for years. Like the learned, rational fellow he is, he forces her to destroy all her magical charms and protective devices, and stop that foolishness. He isn't put off by her insistence that his professional rivals are working magic against him, and her protections are necessary to his career and life.",1.663645,United Kingdom,Night of the Eagle,6.7,21.0,1962,Sidney Hayers
"Drama, Fantasy",63702,French,"Two women love the same man in a world of few prospects. In Budapest, Liliom is a ""public figure,"" a rascal who's a carousel barker, loved by the experienced merry-go-round owner and by a young, innocent maid. The maid, Julie, loses her job after going out with Liliom; he's fired by his jealous employer for going out with Julie. The two lovers move in with Julie's aunt; unemployment emasculates him and a local weasel tempts him with crime. Julie, now wan, is true to Liliom even in his bad temper. Meanwhile, a stolid widower, a carpenter, wants to marry Julie. Is there any future on this earth for Julie and Liliom, whose love is passionate rather than ideal?",0.157182,France,Liliom,0.0,2.0,1934,Fritz Lang
Animation,28874,Japanese,"Kenji is your typical teenage misfit. He’s good at math, bad with girls, and spends most of his time out hanging out in the all-powerful online community known as OZ. His second life is the only life he has – until the girl of his dreams, Natsuki, hijacks him for a starring role as a fake fiancé at her family reunion. Things only get stranger from there. A late-night email containing a cryptic mathematic riddle leads to the unleashing of a rogue AI intent on using the virtual world of OZ to destroy the real world. As Armageddon looms on the horizon, Kenji and his new “family” set aside their differences and band together to save the worlds they inhabit in this ""near-perfect blend of social satire and science fiction.""",12.653798,Japan,Summer Wars,7.4,265.0,2009,Mamoru Hosoda
"Drama, Romance",57703,Japanese,"Set in the 1960's, high school student Toru Watanabe loses his only friend Kizuki after he commits suicide. Toru, now looking for a new life, enters a university in Tokyo. By chance, Toru meets Kizuki's ex-girlfriend Naoko in the university. They grow close because they both share the same loss. As Toru and Naoko grow even closer, Naoko's sense of loss also grows. After Naoko's 20th birthday, she leaves for a sanitarium in Kyoto. Watanabe, devastated by the situation, meets pure-hearted Midori during the spring semester. Midori looks like a small animal that just came into the world ...",6.972723,Japan,Norwegian Wood,6.6,61.0,2010,Tran Anh Hung
"Drama, Thriller",56092,English,"Hywel Bennett stars as Martin Durnley, a rich but damaged Oxford University drop-out with a hatred of his banker stepfather, played by Frank Finlay. His mum babies the boy, a consequence of Martin's elder brother, a Down Syndrome sufferer (or 'Mongoloid' - or even 'mentally backward' as they say here), being in full-time care, and the doctors having warned Martin's parents not to have any more children - just to be on the safe side. Too late: troubled mummy's boy Martin, with his cuddly toys and penchant for smashing his own reflection, appears to have proved the doctors misgivings.",2.061215,United Kingdom,Twisted Nerve,6.4,13.0,1968,Roy Boulting
Action,31162,Russian,"Black Lightning is a Russian superhero film about a Moscow University student who discovers that his otherwise unremarkable car can fly. After his father is attacked, he decides to use the car to fight crime and becomes the city's defender against an evil millionaire.",3.931527,Russia,Black Lightning,5.3,33.0,2009,Dmitriy Kiselev
"Drama, Family, Animation",20722,Japanese,"As his town is flooded by water, an old man builds his home higher and higher to stay dry. When his pipe falls through the water, he has to revisit each layer of memories to retrieve it.",4.560544,Japan,The House of Small Cubes,7.9,90.0,2008,Kunio Katō
Horror,29865,English,"Trapped in a house of horror, seven people discover that the only way they'll get out alive is to tell their scariest stories, setting the stage for five tales from directors Ken Russell, Sean S. Cunningham, Joe Dante, Monte Hellman and John Gaeta. This anthology includes spine-tingling tales of sexy succubi, possessed breast implants, nightmarish dream hauntings and more. Jayce Bartok, Lara Harris and Henry Gibson star.",0.749136,"United States of America, Japan",Trapped Ashes,4.9,9.0,2006,Joe Dante
"Romance, Animation",18143,Japanese,"A cat reminisces about his life with and feelings for his owner, a single woman.",2.493824,Japan,She and Her Cat: Their Standing Points,6.3,34.0,1999,Makoto Shinkai
"Drama, Romance",13957,English,"During the 1940s, a group of young men go off to war, leaving behind Ethel Ann (Mischa Barton), who is in love with one of them, Teddy. In modern-day Belfast, a man named Jimmy (Martin McCann) endeavors to return a ring found in the wreckage of a crashed plane. He travels to Michigan, where the grown Ethel Ann (Shirley MacLaine), who married another man after Teddy was killed in battle, now lives. Ethel Ann must decide whether to go with Jimmy to meet the soldier who last saw Teddy alive.",10.320049,"United Kingdom, United States of America, Canada",Closing the Ring,6.3,20.0,2007,Richard Attenborough
Drama,13461,Italian,"An adolescent girl, living with her mother and her grandmother, will have her first sexual experiences in a heavy and excessive way.",5.257142,"Italy, Spain",Melissa P.,4.1,96.0,2005,Luca Guadagnino
Comedy,51447,French,A housewife takes over her husband's umbrella business after his illness.,5.899325,France,Trophy Wife,6.1,105.0,2010,François Ozon
"Family, Documentary",59490,English,"Werner Herzog gains exclusive access to film inside the Chauvet caves of Southern France, capturing the oldest known pictorial creations of humankind in their astonishing natural setting.",4.508588,"Germany, France, United Kingdom, United States of America",Cave of Forgotten Dreams,7.1,85.0,2010,Werner Herzog
"Thriller, Science Fiction, Mystery",45612,English,"Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens?",9.796962,"United States of America, Canada",Source Code,7.1,2752.0,2011,Duncan Jones
"Drama, Romance",38684,English,"After a bleak childhood, Jane Eyre goes out into the world to become a governess. As she lives happily in her new position at Thornfield Hall, she meet the dark, cold, and abrupt master of the house, Mr. Rochester. Jane and her employer grow close in friendship and she soon finds herself falling in love with him. Happiness seems to have found Jane at last, but could Mr. Rochester's terrible secret be about to destroy it forever?",7.089084,United Kingdom,Jane Eyre,7.0,438.0,2011,Cary Fukunaga
"Thriller, War",48243,English,A Taliban soldier struggles to survive after he escapes his captors and flees into the Polish countryside.,2.972178,"France, Ireland, Hungary, Norway, Poland",Essential Killing,5.9,42.0,2010,Jerzy Skolimowski
Drama,42167,Portuguese,"The Caravana Rolidei rolls into town with the Gypsy Lord at the mike: he does magic tricks, the erotic Salomé dances, and the mute Swallow performs feats of strength. A young accordion player is completely enamored of Salomé, and he begs to come along. The Gypsy Lord shrugs, and the accordionist and his pregnant wife, Dasdô, join the troupe. Television is their enemy as they go from the coast deep into the Amazon. Salomé lets the accordion player sleep with her once, with Dasdô's knowledge. He's moon-struck. Then, after Dasdô's baby is born and financial disaster hits the troupe, and the accordionist must choose between seeing his wife a prostitute and leaving the caravan.",0.269354,"France, Argentina, Brazil",Bye Bye Brasil,5.6,7.0,1980,Carlos Diegues
"Comedy, Romance",58232,English,"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny.",6.496259,"Germany, United Kingdom, Austria",Chalet Girl,6.4,209.0,2011,Phil Traill
Unknown,62342,Spanish,"Felipe, an aspiring actor, believes he is jinxed after an unfortunate event. His struggle to find the cause and cure of his jinx. His half-brother is not doing much better, but among the two of them embark on a mission to change their lives and fulfill their father's dream.",0.152178,Argentina,La suerte está echada,6.3,4.0,2005,Sebastián Borensztein
Drama,37405,German,"Fat German star restaurant chef Gregor shows romantic interest in waitress Eden Drebb. She's happily married to hunky Xaver Drebb, but feels romantically neglected. Gregor's deserts seduce her, first trough her brat daughter Leonie, to spend time with him and his fabulous dishes. That soon becomes a rather platonic affair, and domestic troubles. Xaver decides to exact revenge on Gregor, with tragic results.",0.180599,"Germany, Switzerland",Eden,5.5,2.0,2006,Michael Hofmann
History,29436,Swedish,A movie based on real wartime diaries tells the story of the Swedish speaking Finns' infantry regiment 61. The story follows the regiment during the Continuation War from 1942 to 1944 and from Syväri to the Karelian Isthmus where they faced some of the most grueling battles against the Soviet Union.,1.136339,Finland,Beyond the Front Line,6.4,5.0,2004,Åke Lindman
Thriller,19611,Chinese,"A debt collector receives a call from a woman who is kidnapped by an unknown gang. He thinks it is a joke but soon, he realises that it is not a prank.",2.989962,"China, Hong Kong",Connected,7.0,20.0,2008,Benny Chan
"History, Documentary",153041,English,"A documentary that explores the life styles of various otakus in Japan. Various interviews are given to selected otakus who express how interesting it is to be an otaku as oppose to not being one at all. Along with various shots of various Japanese city landscapes and the inside of an average otaku home from rooms filled with videos, models, and the latest in technology.",0.177577,"France, Japan",Otaku,6.0,1.0,1994,Jean-Jacques Beineix
"Drama, Romance, TV Movie",211331,English,"Denny Montana never looks at Claire. She has been working for him for four years and fallen in love at a distance. When Denny's brother Regan returns to oversee the sale of the family vineyard, Claire and Reganen makes pact. To make Denny jealous and lure him away from his girlfriend's bad influence. But what Claire and Regan did not take into account was how difficult it can be to control their own emotions.",0.907988,"Canada, South Africa",Diamond Girl,3.3,4.0,1998,Timothy Bond
Drama,95242,Russian,"When Viktor meets Gizella one day beside the lake, he takes an interest in her and begins to call on her regularly. The one passion in the life of Gizella, who is unable to speak, is dancing. When Viktor deceives her and she finds him with another woman, she moves away and begins a career as a ballerina. Later, as she is on tour performing “The Dying Swan”, the artist Glinskiy attends her performance. Glinskiy, whose own obsession is to depict death in his art, becomes fascinated by Gizella, and he is determined to use her as a model for a special project.",0.294366,Russia,The Dying Swan,7.3,8.0,1917,Yevgeni Bauer
Comedy,45189,Spanish,It is the story of a sportsman who is a little bit dumber than most people but nevertheless he succeeds in getting a job at a sports article saler's. Having this job is the beginning of a lot of funny problems he causes due to his dumbness.,0.171546,Mexico,Sube y baja,5.3,3.0,1959,Miguel M. Delgado
"Drama, Thriller",15837,Danish,"When Thomas´ sister dies in an accident, he discovers that her death may be connected to their deceased father´s work in military intelligence. As Thomas embarks on an investigation he soon finds himself and his family under surveillance by an unknown group of people.",0.874066,"Denmark, Sweden, Sweden",What No One Knows,5.4,8.0,2008,Søren Kragh-Jacobsen
"Drama, Romance",48650,Spanish,A hotel room in the center of Rome serves as the setting for two young and recently acquainted women to have a physical adventure that touches their very souls.,6.206694,Spain,Room in Rome,5.6,135.0,2010,Julio Médem
"Drama, Romance, War",44087,English,"Life on a British bomber base, and the surrounding towns, from the opening days of the Battle of Britain, to the arrival of the Americans, who join in the bomber offensive. The film centres around Pilot Officer Peter Penrose, fresh out of a training unit, who joins the squadron, and quickly discovers about life during war time. He falls for Iris, a young girl who lives at the local hotel, but he becomes disillusioned about marriage, when the squadron commander dies in a raid, and leaves his wife, the hotel manageress, with a young son to bring up. As the war progresses, Penross comes to terms that he has survived, while others have been killed.",0.255576,United Kingdom,The Way to the Stars,3.8,6.0,1945,Anthony Asquith
"Drama, History, Foreign",44898,Italian,"An examination of the creation of the state of Israel in 1948 through to the present day.[Synopsis from the director, courtesy of Cannes Film Festival] : ""The Time That Remains"" is a semi biographic film, in four historic episodes, about a family--my family--spanning from 1948, until recent times. The film is inspired by my father’s diaries of his personal accounts, starting from when he was a resistant fighter in 1948, and by my mother’s letters to family members who were forced to leave the country since then. Combined with my intimate memories of them and with them, the film attempts to portray the daily life of those Palestinians who remained in their land and were labeled ""Israeli-Arabs,"" living as a minority in their own homeland.",0.635053,"France, United Kingdom, Italy, Belgium",The Time That Remains,6.3,9.0,2009,Elia Suleiman
"Comedy, Drama",39356,English,"It's 1984, and Michael Jackson is king - even in Waihau Bay, New Zealand. Here we meet Boy, an 11-year-old who lives on a farm with his gran, a goat, and his younger brother, Rocky (who thinks he has magic powers). Shortly after Gran leaves for a week, Boy's father, Alamein, appears out of the blue. Having imagined a heroic version of his father during his absence, Boy comes face to face with the real version-an incompetent hoodlum who has returned to find a bag of money he buried years before. This is where the goat enters.",3.308503,New Zealand,Boy,7.5,66.0,2010,Taika Waititi
"Foreign, Horror",28802,French,"Countess Irina of Karlstein resides quietly in a hotel on the island of Madeira, where she sustains her immortality by feeding on the life essence of men and women. When new victims are found fatally drained of potency, forensic scientist Dr. Roberts consults his colleague, Dr. Orloff, who confirms that a vampire is responsible. Meanwhile, Irina is confronted by a poet who believes he is destined to become her lover and join her among the immortals!",1.026248,"France, Belgium",Female Vampire,3.8,11.0,1975,Jesús Franco
"Comedy, Family, Animation",50359,English,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",8.904488,United Kingdom,Hop,5.5,338.0,2011,Tim Hill
"Comedy, Drama",64484,Russian,A young man drops out of university and goes to the police. He's done nothing wrong he just wants a job. A particular job. Playing the victim in murder reconstructions. Maybe by getting close to death he can manage to cheat on his own.,1.217921,Russia,Playing the Victim,5.5,9.0,2006,Kirill Serebrennikov
"Drama, Thriller, Horror",75725,Spanish,"In 1985, in a coastal town, the friends Koldo, Peti, Tito, Eugenio and Moni stumble with a woman dressed like Santa Claus trapped in a hole in the woods. While to boys go to the police station to ask for help, the others find a rope to take the woman out of the hole. However, the boys find in the police station that the woman is the dangerous thief Rebeca Expósito, who has just stolen two million pesetas from a bank and is wanted. The group decides to leave the woman in the hole without any food to force her to give the robbed money to them. Meanwhile, Peti and Eugenio that are fans of the movie ""Zombie Invasion"", decide to make a voodoo ceremony with Rebecca to transform her into a zombie. When Rebecca escapes from her imprisonment, she uses an axe to chase the evil boys.",1.150925,Spain,Films to Keep You Awake: The Christmas Tale,6.7,13.0,2005,Paco Plaza
Drama,97149,Japanese,"Learning of his family's collapse, acolyte Goichi, sent to study silently at the Temple of the Golden Pavilion, must endure acute psychological distress.",0.665175,Japan,Conflagration,5.5,2.0,1958,Kon Ichikawa
"Drama, Romance",31412,Turkish,"Story of a dilemma between a woman's love and her logic. Asya, a young girl with a strict mother, meets Ilyas who is a womanizer city man, and they quickly fall in love. They get over the hardships and have a quick happy marriage. However, after he helps a man one night, Ilyas' life changes forever and he leaves Asya and Samet, their son and doesn't come back. After that, Asya takes their son and go away without knowing where she is heading, until a familiar hand reaches her to help selflessly.",1.148834,Turkey,The Girl with the Red Scarf,7.9,8.0,1978,Atıf Yılmaz
"Comedy, Drama",41273,French,"Formerly successful television producer Joachim Zand returns from America to his native France, where he previously has left everything behind, including friends, enemies and his own children. In his company is a burlesque striptease troupe whom he has promised a grand performance in Paris.Together they tour the French port cities, staying at cheap hotels and making success along the way. Old conflicts are however reignated upon the return to the French capital. Joachim is betrayed by people from his past, making him lose the venue where they were to perform, and the Paris finale comes to nothing.",1.99304,"Germany, France",On Tour,6.4,22.0,2010,Mathieu Amalric
Documentary,54194,English,"Koko: A Talking Gorilla is a documentary directed by Barbet Schroeder. The film is a study of Dr. Penny Patterson and her current scientific study, Koko, a gorilla.",0.435271,France,Koko: A Talking Gorilla,6.2,5.0,1978,Barbet Schroeder
Drama,30734,Swedish,"A small-town piano teacher is shocked by the arrival of her foster daughter's real mother, whose young lover soon follows and causes further disruption.",0.832827,"Sweden, Sweden",Crisis,6.5,13.0,1946,Ingmar Bergman
Drama,51141,Swedish,"A suicidal factory girl out of reformatory school, anxious to escape her overbearing mother, falls in love with a sailor who can't forgive her past.",0.573899,"Sweden, Sweden",Port of Call,6.6,15.0,1948,Ingmar Bergman
Drama,29043,German,"A man climbs a 12,000-foot mountain to search for his wife, who was lost on their honeymoon. Another couple makes the dangerous climb with him.",0.239934,Germany,White Hell of Pitz Palu,8.0,3.0,1929,G.W. Pabst
"Action, Adventure, Thriller",50456,English,"A 16-year-old girl raised by her father to be the perfect assassin is dispatched on a mission across Europe. Tracked by a ruthless operatives, she faces startling revelations about her existence and questions about her humanity.",8.071196,"Germany, United Kingdom, United States of America",Hanna,6.5,1284.0,2011,Joe Wright
"Drama, Crime, Thriller",49334,English,"After being framed for a policeman's murder, a criminal escapes prison and sets out for revenge.",0.555885,United Kingdom,They Made Me a Fugitive,5.8,7.0,1947,Alberto Cavalcanti
Documentary,86750,English,"This ground-breaking cinema véritè classic documents five weeks in the lives of twelve children in a home for emotionally disturbed children. It is the first in the form that King later described as actuality drama. All the action is spontaneous and undi-rected, with neither interviews nor narration. The theme is the outrage of life. The children asked the filmmakers, Why is it that whenever pictures of us are put in the papers, our faces are blacked out. What is so awful about us that we cant be seen? They wanted to be filmed so that they could be seen.",0.391584,Canada,Warrendale,8.0,4.0,1967,Allan King
Drama,39284,Swedish,To Joy (Swedish: Till glädje) is a 1950 Swedish film directed by Ingmar Bergman about a young married couple who play together in a Swedish orchestra.,0.515892,"Sweden, Sweden",To Joy,7.3,13.0,1950,Ingmar Bergman
Documentary,54527,English,"Every day, the world over, large amounts of high-level radioactive waste created by nuclear power plants is placed in interim storage, which is vulnerable to natural disasters, man-made disasters, and to societal changes. In Finland the world’s first permanent repository is being hewn out of solid rock – a huge system of underground tunnels - that must last 100,000 years as this is how long the waste remains hazardous.",1.227597,Denmark,Into Eternity,7.4,26.0,2010,Michael Madsen
"Action, Drama, Romance, History",57695,French,"Set in the high courts of 16th Century France, where the wars of religion between Catholics and Protestants are raging. Marie de Mézières, a beautiful young aristocrat, is in love with Henri de Guise, but her hand in marriage is promised to the Prince of Montpensier.",2.156145,"Germany, France",The Princess of Montpensier,6.4,42.0,2010,Bertrand Tavernier
