genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
Drama,39428,English,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portrait of a boy's life in a rural 1940s Southern town.",0.370342,United Kingdom,The Neon Bible,7.2,5.0,1995,Terence Davies
"Comedy, Drama, Romance",22279,English,"An Awfully Big Adventure is a 1995 drama film about a theatre company in Liverpool, set in 1947 and based on the 1989 novel of the same name by Beryl Bainbridge.",0.922958,United Kingdom,An Awfully Big Adventure,6.0,11.0,1995,Mike Newell
"Comedy, Drama, Crime, Thriller",30157,English,"A man wakes up in an alley, bleeding and with no memory of who he is. He stumbles into a coffee shop and is befriended by a charitable ex-nun who is failing in her attempts to write marketable pornography.",1.759012,"France, United Kingdom, United States of America",Amateur,6.5,21.0,1994,Hal Hartley
Adventure,11780,English,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",10.193549,"United Kingdom, United States of America",Rob Roy,6.5,151.0,1995,Michael Caton-Jones
"Drama, Romance",649,French,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",10.142662,"France, Italy",Belle de Jour,7.3,163.0,1967,Luis Buñuel
"Comedy, Action",1775,English,Canadian Bacon is the only fictitious film from Director Michael Moore. This comedy is about an American president who decides to go to war to bring the public’s opinion of him up during election time. Canadian Bacon is actor John Candy’s last film.,5.391556,"United States of America, Canada",Canadian Bacon,5.9,57.0,1995,Michael Moore
"Action, Drama, Adventure, Thriller, Science Fiction",9886,English,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.  In a dystopian 2021, Johnny (Keanu Reeves) is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits - and will kill him if the data is not removed in time - but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",11.715868,"United States of America, Canada",Johnny Mnemonic,5.5,380.0,1995,Robert Longo
"Comedy, Drama",15730,English,"Dreary urban landscape of an anonymous Canadian city. Dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on roommates David, a gay waiter who has has given up on his acting career, and Candy, a book reviewer who is also David's ex-lover. David and Candy's lives are entangled with those of David's friends and Candy's dates.",0.354014,Canada,Love & Human Remains,7.0,7.0,1993,Denys Arcand
"Comedy, Drama, Romance",68274,English,Four women who discover untapped strength within themselves when they finally let go of what divides them,1.01115,"United Kingdom, United States of America",Moonlight and Valentino,5.6,10.0,1995,David Anspaugh
"Thriller, Foreign",48787,English,"Billy is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working on a film directed by her sister's boyfriend, Andy, Billy finds herself trapped in the studio one night and is horrified to see a snuff film being made. Billy escapes and, with the help of her sister, Kate, alerts authorities about what she saw. Unfortunately, in doing so, she makes an enemy of the Russian mafia, who funded the snuff film.",2.466066,"Germany, United Kingdom, United States of America, Russia",Mute Witness,6.4,36.0,1995,Anthony Waller
Drama,32646,English,"Carol, a typical upper middle-class housewife, begins to complain of vague symptoms of illness. She ""doesn't feel right,"" has unexplained headaches, congestion, a dry cough, nosebleeds, vomiting, and trouble breathing. Her family doctor treats her concerns dismissively and suggests a psychiatrist. Eventually, an allergist tells her that she has Environmental Illness.",8.180047,"United Kingdom, United States of America",Safe,7.2,62.0,1995,Todd Haynes
Drama,49805,English,"Andrew Crocker-Harris is an embittered and disliked teacher of Greek and Latin at a British prep school. After nearly 20 years of service, he is being forced to retire on the pretext of his health, and perhaps may not even be given a pension. The boys regard him as a Hitler, with some justification. His wife Laura is unfaithful, and lives to wound him any way she can. Andrew must come to terms with his failed life and regain at least his own self-respect.",3.727644,United Kingdom,The Browning Version,6.0,11.0,1994,Mike Figgis
"Drama, Romance, Family",22625,English,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at University College, Dublin. Here Benny and Eve reunite with their childhood friend, the ice-cool Nan Mahon, the 'college belle'. They also encounter the handsome and charming Jack Foley, whom Benny quickly falls for.",2.605521,"United Kingdom, Ireland",Circle of Friends,6.5,30.0,1995,Pat O'Connor
"Drama, Thriller, Mystery",10531,English,A political activist is convinced that her guest is a man who once tortured her for the government.,5.484156,"France, United Kingdom, United States of America",Death and the Maiden,7.1,92.0,1994,Roman Polanski
"Comedy, Drama, Romance",10451,Chinese,"The film tells the story of a retired and widowed Chinese master chef Chu (Si Hung Lung) and his family living in modern day Taipei, Taiwan. At the start of the film, he lives with his three attractive daughters, all of whom are unattached. As the film progresses, each of the daughters encounters new men in their lives. When these new relationships blossom, the stereotypes are broken and the living situation within the family changes.. The film features several scenes displaying the techniques and artistry of gourmet Chinese cooking. Since the family members have difficulty expressing their love for each other, the intricate preparation of banquet quality dishes for their Sunday dinners is the surrogate for their familial feelings.",4.860016,"United States of America, Taiwan",Eat Drink Man Woman,7.5,76.0,1994,Ang Lee
"Drama, Mystery",20156,English,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's owner, Zoe. Meanwhile Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives. Gradually, connections between the traumatic pasts of these characters are revealed.",5.378467,Canada,Exotica,6.5,64.0,1994,Atom Egoyan
"Comedy, Romance",397,English,French Kiss is director Kasdan’s best film since the Bodyguard. The plot involves a couple in love and one woman’s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband.,9.146544,"United Kingdom, United States of America",French Kiss,6.2,179.0,1995,Lawrence Kasdan
"Action, Drama, Crime, Thriller",72031,English,"J.J. is a rookie in the Sheriff's Department and the first black officer at that station. Racial tensions run high in the department as some of J.J.'s fellow officers resent his presence. His only real friend is the other new trooper, the first female officer to work there, who also suffers similar discrimination in the otherwise all-white-male work environment. When J.J. becomes increasingly aware of police corruption during the murder trial of Teddy Woods, whom he helped to arrest, he faces difficult decisions and puts himself into grave personal danger in the service of justice.",1.012197,"France, United States of America",The Glass Shield,5.4,9.0,1994,Charles Burnett
"Drama, Fantasy",1024,English,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.",9.438042,New Zealand,Heavenly Creatures,6.9,299.0,1994,Peter Jackson
Drama,49980,English,"This Ken Loach docu-drama relates the story of a British woman's fight with Social Services over the care of her children. Maggie has a history of bouncing from one abusive relationship to another. She has four children, of four different fathers, who came to the attention of Social Services when they were injured in a fire. Subsequently, Maggie was found to be an ""unfit mother"" and her children were removed from her care. She finally meets the man of her dreams, a Paraguayan expatriate, and they start a family together. Unfortunately, Social Services seems unwilling to accept that her life has changed and rends them from their new children. She and Jorge together, and separately, fight Social Services, Immigration, and other government bureaucrats in a desperate battle to make their family whole again.",0.84508,United Kingdom,Ladybird Ladybird,7.4,14.0,1994,Ken Loach
"Drama, Romance",18183,Spanish,"Tita is passionately in love with Pedro, but her controlling mother forbids her from marrying him. When Pedro marries her sister, Tita throws herself into her cooking and discovers she can transfer her emotions through the food she prepares, infecting all who eat it with her intense heartbreak.",4.126083,Mexico,Like Water for Chocolate,6.6,70.0,1992,Alfonso Aráu
"Comedy, Drama, History",11318,English,"Nicholas Hytner’s much awarded 1994 drama, based on Alan Bennett's West End play. George III's erratic behaviour leads to a plot in Parliament to have him declared insane and removed from the throne.",4.81307,United Kingdom,The Madness of King George,6.7,67.0,1994,Nicholas Hytner
