,userId,nbFollowers,nbFollowings,nbFavorites,nbSocialMediaAcc
588,337361581,37896.0,17762,1305,1
589,385629926,628.0,354,0,0
590,376425376,1300.0,297,1,0
591,302614596,665.0,81,0,1
592,359275504,5954.0,442,7,4
593,339232567,70746.0,491,54,1
594,339232567,70746.0,491,0,1
595,433678954,588.0,354,0,0
596,313893730,580.0,276,0,0
597,379248349,715.0,144,0,0
598,356265563,104.0,419,0,0
599,238122440,9626.0,713,18,1
600,390678717,33942.0,8277,10,0
601,340332898,3044.0,150,0,0
602,429951956,1811.0,0,0,0
603,296277295,1061.0,1231,0,0
604,416277987,704.0,1173,0,1
605,283709733,84894.0,206,35,1
606,283709733,84894.0,206,381,1
607,350791614,1398.0,969,92,0
608,285615492,682.0,527,0,0
609,245615364,409.0,211,0,0
610,255745227,311.0,174,0,0
611,326682791,891.0,593,4,1
612,368524561,204.0,761,0,0
613,341399240,2174.0,1919,0,0
614,359331216,810.0,1463,0,1
615,284506916,10058.0,250,0,1
616,317905351,55.0,66,0,0
617,266623431,7783.0,7047,1,0
618,266623431,7783.0,7047,0,0
619,387657812,451.0,258,0,0
620,331897020,148.0,142,0,0
621,263303952,14437.0,59,74,2
622,390270261,99.0,290,0,0
623,325113418,187.0,320,0,0
624,285647449,111177.0,968,523,4
625,239430820,45271.0,203,0,0
626,247086816,20811.0,4102,96,1
627,375133863,1548.0,1122,0,0
628,375849874,40.0,27,0,0
629,242496940,2295.0,289,0,1
630,340212721,17885.0,2628,0,0
631,341124249,81.0,340,0,0
632,313885434,66.0,325,0,0
633,288799443,481.0,498,0,0
634,302631744,1099.0,876,0,0
635,247182863,41930.0,13,157,1
636,317277557,82.0,95,0,0
637,400298521,9109.0,9430,104,1
638,335203534,1322.0,204,0,0
639,354258699,237.0,330,0,0
640,324896064,344.0,226,0,0
641,429258217,547.0,480,1,0
642,382391203,8.0,58,0,0
643,251323178,21202.0,207,122,4
644,433621072,1586.0,632,0,0
645,335794695,52.0,10,1,2
646,367782947,1746534.0,1658816,2067,0
647,293637940,152.0,135,0,0
648,404389747,1190.0,531,0,0
649,293997587,60.0,306,0,0
650,233668695,31.0,170,0,0
651,233668695,31.0,170,0,0
652,363496523,122.0,171,0,0
653,297297225,1422.0,642,67,0
654,341651739,2553.0,183,0,0
655,378542950,20625.0,7958,43,1
656,378542950,20625.0,7958,168,0
657,378542950,20625.0,7958,0,0
658,293213544,2547.0,1446,4,0
659,342793244,751.0,282,0,0
660,385620531,42.0,73,0,0
661,409490473,1700.0,229,0,0
662,409490473,1700.0,229,19,0
663,277441799,1781.0,545,0,0
664,325283735,204.0,170,0,0
665,369104698,2.0,3,0,0
666,288722130,169.0,55,0,0
