,userId,nbLetter,nbWords,nbEmojis,nbSlangWords,nbStatus,nbMentions,IsSelfTagged,nbHashtags,nbRetweets
2957,832663410663776256,51,10,4.0,1,1167,1,0.0,0,0.0
2958,908355641676369920,8,2,0.0,1,11112,1,0.0,0,0.0
2959,909456263121113088,40,9,0.0,2,21246,1,0.0,0,0.0
2960,897546002470719488,238,40,0.0,6,1433,1,0.0,0,0.0
2961,897546002470719488,211,39,0.0,4,1433,1,0.0,0,0.0
2962,939587773891252224,66,11,0.0,1,17410,1,0.0,0,0.0
2963,883082732603142144,10,2,0.0,2,21,3,0.0,0,0.0
2964,843827928760799232,200,34,0.0,2,884,0,0.0,0,0.0
2965,936956291318198272,56,10,0.0,3,414,0,0.0,0,3.0
2966,873564473428238336,203,35,0.0,3,7567,2,0.0,0,0.0
2967,872247883634020352,110,22,0.0,1,4081,0,0.0,0,0.0
2968,872431182230806528,159,28,0.0,2,3628,1,0.0,0,0.0
2969,853019424093335552,20,3,0.0,1,1407,1,0.0,0,0.0
2970,848824044568891392,13,2,0.0,1,883,0,0.0,0,0.0
2971,862413158731984896,72,14,0.0,1,1775,0,0.0,0,0.0
2972,921039149498601472,35,7,0.0,1,44,0,0.0,0,0.0
2973,892743942567063552,120,19,0.0,2,2062,1,0.0,0,0.0
2974,892743942567063552,61,12,3.0,1,2062,1,0.0,0,0.0
2975,840968763486937088,141,23,0.0,1,690,4,0.0,0,0.0
2976,878382115494260736,89,21,0.0,2,2889,1,0.0,0,0.0
2977,933090651247321088,36,8,0.0,1,142,0,0.0,1,1.0
2978,821063786157264896,106,20,0.0,3,5248,1,0.0,0,0.0
2979,849631501050417152,210,33,0.0,2,68,0,0.0,0,0.0
2980,932324276572745728,44,6,0.0,2,3238,1,0.0,0,0.0
2981,879081967815467008,33,7,1.0,2,79,3,0.0,0,0.0
2982,934336823630983168,89,17,0.0,4,2028,0,0.0,0,0.0
2983,840968655097724928,92,13,0.0,1,62861,0,0.0,0,0.0
2984,849320784694824960,85,11,0.0,1,5987,0,0.0,0,0.0
2985,891758668705824768,82,15,2.0,2,2471,0,0.0,0,0.0
2986,818544887788371968,51,12,0.0,1,16478,0,0.0,0,0.0
2987,813289877659877376,28,4,0.0,1,3,1,0.0,0,0.0
2988,920881360151203840,9,2,0.0,1,5605,1,0.0,0,0.0
2989,888493821239099392,45,7,0.0,1,49,1,0.0,0,0.0
2990,904083332207665152,41,8,0.0,2,540,1,0.0,0,0.0
2991,937914548618776576,20,5,0.0,1,3218,1,0.0,0,0.0
2992,862966003650744320,16,4,0.0,1,1888,2,0.0,0,0.0
2993,870626279124611072,36,6,0.0,0,2142,1,0.0,0,0.0
2994,871559880645148672,241,38,0.0,3,70,1,0.0,0,0.0
2995,893818421510631424,227,35,0.0,1,2694,1,0.0,0,0.0
2996,940297313154715648,39,8,0.0,2,37062,1,0.0,0,0.0
2997,825307875941679104,38,9,0.0,1,8162,2,0.0,0,0.0
2998,875831008834334720,49,11,0.0,1,12534,0,0.0,0,0.0
2999,922447411699699712,199,28,0.0,4,4650,0,0.0,0,0.0
3000,864546924376068096,45,8,0.0,1,1363,1,0.0,0,0.0
3001,884933190854615040,55,8,0.0,1,3911,0,0.0,0,0.0
3002,875827749100847104,50,8,0.0,1,1023,1,0.0,0,0.0
3003,824739266899087360,41,6,0.0,3,2743,0,0.0,0,0.0
3004,827927190876594176,72,13,0.0,1,22334,0,0.0,0,0.0
3005,940900758081458176,76,13,0.0,2,1977,1,0.0,0,0.0
3006,844309499750027264,26,5,1.0,0,1207,3,0.0,0,0.0
3007,903976230835421184,18,3,0.0,0,7876,1,0.0,0,0.0
3008,817092980691582976,26,4,0.0,0,1937,2,0.0,0,0.0
3009,952906248936132608,52,11,0.0,0,114,0,0.0,0,1.0
3010,955752764486963200,23,5,0.0,0,107,0,0.0,0,3.0
3011,974278930453671936,123,20,0.0,1,29,0,0.0,0,1.0
3012,969918798974345216,209,33,0.0,1,1122,0,0.0,0,596.0
3013,969918798974345216,216,33,0.0,0,1122,0,0.0,0,325.0
3014,969918798974345216,54,7,0.0,1,1122,0,0.0,0,32.0
3015,969918798974345216,209,32,0.0,0,1122,0,0.0,0,509.0
3016,1005289874797334528,227,40,1.0,0,47136,0,0.0,0,4.0
3017,1005289874797334528,5,1,0.0,0,47136,0,0.0,0,6.0
3018,1029385203389747200,42,6,0.0,0,149,0,0.0,0,5.0
3019,1029385203389747200,34,7,1.0,0,149,0,0.0,0,3.0
3020,1029385203389747200,52,8,0.0,0,149,0,0.0,0,2.0
3021,1029385203389747200,28,5,0.0,0,149,0,0.0,0,5.0
3022,1029385203389747200,25,5,0.0,0,149,0,0.0,0,4.0
3023,1029385203389747200,65,8,0.0,0,149,0,0.0,0,2.0
3024,1024736783085592576,29,5,0.0,0,1013,0,0.0,0,1.0
3025,1033707949506609152,114,17,0.0,0,10672,0,0.0,0,271.0
3026,994141576002703360,59,10,0.0,0,18,0,0.0,0,12.0
3027,957591479920332800,90,13,0.0,0,14776,2,0.0,0,3.0
